test_date,train_end,calib_start,calib_end,best_alpha,forecast,realized,calib_error,hist_mean_expand,SSE_forecast,SSE_hist,row_num,Cum_SSE_forecast,Cum_SSE_hist,RMSE_forecast,RMSE_hist,RMSE_diff,Cum_RMSE_diff,R_Sq_OOS
2005-04-30,2000-03-31,2000-04-30,2005-03-31,25.950242113997348,0.7385926086370781,0.46053662112617894,0.2731518439925714,-0.05325580454483947,0.07731513219066131,0.263982656676909,112,88.02875115193085,173.97400443632338,0.026273821196654317,0.04854882085121976,0.022274999654565444,6.920714421456136,0.4940120425626551
2005-05-31,2000-04-30,2000-05-31,2005-04-30,25.950242113997348,-0.7909876440828736,-1.4465960561411668,0.2709501394507479,-0.05721415753232904,0.42982238996159683,1.9303820601818988,113,88.45857354189243,175.90438649650528,0.06167445147110689,0.1307020546175757,0.0690276031464688,6.989742024602605,0.4971212753489246
2005-06-30,2000-05-31,2000-06-30,2005-05-31,17.886495290574334,0.8146869905324534,1.5338111254641142,0.2735316655398014,-0.05270700375613514,0.5171395214412096,2.51703977434452,114,88.97571306333366,178.4214262708498,0.06735214615429531,0.1485910369644818,0.0812388908101865,7.070980915412791,0.5013171067903834
2005-07-31,2000-06-30,2000-07-31,2005-06-30,17.886495290574334,-0.7870245204128545,-0.6201962916289674,0.2757477626175031,-0.05431008084052168,0.02783165791916899,0.3202272035605052,115,89.00354472125282,178.7416534744103,0.015556812549118988,0.052769161247711735,0.037212348698592745,7.108193264111384,0.5020548205122479
2005-08-31,2000-07-31,2000-08-31,2005-07-31,21.54434690031882,0.8321408326593046,0.3204690933771671,0.2741296192613825,-0.05325436485680988,0.26180796878000767,0.13966922323436315,116,89.26535269003283,178.88132269764466,0.047507528330818415,0.034699351980727836,-0.012808176350090579,7.095385087761294,0.5009800277421127
2005-09-30,2000-08-31,2000-09-30,2005-08-31,21.54434690031882,0.7433325389624134,2.3605838389104634,0.27008306409636407,-0.04647392046420518,2.6155017671836576,5.793927056965799,117,91.88085445721649,184.67524975461046,0.14951493557111503,0.22253256857509815,0.07301763300398312,7.168402720765277,0.5024733710700036
2005-10-31,2000-09-30,2000-10-31,2005-09-30,10.235310218990259,-0.7454588146140808,-0.16464283152744302,0.3126110865984686,-0.04680492581732349,0.33734720620889747,0.013885772022147023,118,92.21820166342538,184.6891355266326,0.05346844516992206,0.010847858502303196,-0.042620586667618865,7.125782134097658,0.5006842097101738
2005-11-30,2000-10-31,2000-11-30,2005-10-31,14.849682622544636,0.8368676052578686,1.578485319307985,0.3182417268195216,-0.04226500893149861,0.5499968337929203,2.626831626488394,119,92.76819849721831,187.31596715312102,0.06798398438392396,0.14857393899551147,0.08058995461158751,7.206372088709245,0.504750182768001
2005-12-31,2000-11-30,2000-12-31,2005-11-30,7.054802310718638,0.8609034814211057,1.1544041304616335,0.32468459019954937,-0.038931668710347825,0.08614263098721105,1.4240503295854312,120,92.85434112820552,188.74001748270643,0.02679282102031734,0.10893615598082482,0.08214333496050748,7.288515423669753,0.5080304518001149
2006-01-31,2000-12-31,2001-01-31,2005-12-31,1.3219411484660286,0.8762059716853978,2.0895186381996194,0.32081958234854074,-0.033019306746709026,1.4721276267238506,4.505167327736982,121,94.32646875492937,193.24518481044342,0.11030115150129287,0.19295799499512073,0.08265684349382786,7.371172267163581,0.5118819190891852
2006-02-28,2001-01-31,2001-02-28,2006-01-31,0.0001,-0.7520842701641002,-0.26414831523422283,0.3450783423057778,-0.03365955330761627,0.2380814961133313,0.05312506937445992,122,94.56455025104269,193.29830987981788,0.04417564570054514,0.020867472015441767,-0.023308173685103375,7.347864093478478,0.5107843917009018
2006-03-31,2001-02-28,2001-03-31,2006-02-28,0.0001,0.894631807547888,0.463912039179496,0.34231277748726135,-0.032285046146049656,0.1855195188633212,0.24621154748556687,123,94.75006976990602,193.54452142730347,0.0388366936188769,0.044740584464852955,0.005903890845976055,7.353767984324453,0.5104481952205775
2006-04-30,2001-03-31,2001-04-30,2006-03-31,0.0001,0.8901094167248859,2.052715084833399,0.3376838635299732,-0.02654124413233217,1.351651939518042,4.323306881544049,124,96.10172170942406,197.8678283088475,0.10440507107933496,0.1867227304774867,0.08231765939815174,7.436085643722605,0.5143135570304991
2006-05-31,2001-04-30,2001-05-31,2006-04-30,0.0001,-0.7424345508766269,-0.3882412019266616,0.36087964619514684,-0.027534925335063843,0.12545292844039188,0.13010901797257424,125,96.22717463786445,197.99793732682008,0.03168001621721705,0.03226255017478615,0.0005825339575691035,7.436668177680175,0.5139991055612383
2006-06-30,2001-05-31,2001-06-30,2006-05-31,0.0001,-0.7383438539476628,-0.6386667113067432,0.35538845067636227,-0.029209258995260227,0.00993553276505822,0.3714383861780035,126,96.2371101706295,198.36937571299808,0.008879945644164677,0.05429478519918303,0.04541483955501835,7.482083017235193,0.5148590359538869
2006-07-31,2001-06-30,2001-07-31,2006-06-30,0.0001,0.9046009877125412,0.27174106778044715,0.35394393699337556,-0.028386990342867582,0.40051167825645645,0.09007685127287178,127,96.63762184888597,198.45945256427095,0.05615723695003042,0.026632058603414107,-0.029525178346616315,7.452557838888577,0.513061128607165
2006-08-31,2001-07-31,2001-08-31,2006-07-31,0.0001,-0.7405041748346718,-0.1392332699407969,0.3555692630229975,-0.028689023802262487,0.36152670107189916,0.012220030354336883,128,96.99914854995787,198.4716725946253,0.053145341772578826,0.009770823258214064,-0.04337451851436476,7.409183320374212,0.5112695565977476
2006-09-30,2001-08-31,2001-09-30,2006-08-31,0.0001,-0.8088932421283519,-0.645409757753057,0.36182580787918683,-0.030364895361911382,0.026726849663487297,0.37828018275374325,129,97.02587539962136,198.84995277737903,0.014393918198749937,0.054151680652320275,0.039757762453570336,7.4489410828277824,0.5120648808589563
2006-10-31,2001-09-30,2001-10-31,2006-09-30,0.0001,0.8281034900722991,0.1565260027417059,0.35483609964083335,-0.029858415963256592,0.45101632148927306,0.034739151535986765,130,97.47689172111062,198.88469192891503,0.05890124208493616,0.01634699490990664,-0.04255424717502952,7.406386835652753,0.5098823807115802
2006-11-30,2001-10-31,2001-11-30,2006-10-31,0.0001,0.8164941421381428,0.8477988642104254,0.3571762530135738,-0.027486369260084482,0.0009799856240228593,0.766124239931525,131,97.47787170673465,199.65081616884655,0.0027351062667199666,0.07647402592186882,0.07373891965514885,7.480125755307902,0.5117582107738707
2006-12-31,2001-11-30,2001-12-31,2006-11-30,0.0001,-0.8108302639868621,-0.24994067441415624,0.3562465119565043,-0.02808597655160489,0.3145971316910384,0.04921950696368395,132,97.79246883842569,199.70003567581023,0.048819172501385025,0.019309972883336253,-0.02950919961804877,7.4506165556898525,0.5103031979564572
2007-01-31,2001-12-31,2002-01-31,2006-12-31,0.0001,0.9066807838086065,0.3191224834839616,0.36136301884793226,-0.027152620476240463,0.3452247562803857,0.11990644762264874,133,98.13769359470606,199.81994212343287,0.05094776598881466,0.03002585948418923,-0.020921906504625432,7.429694649185227,0.5088693723367991
2007-02-28,2002-01-31,2002-02-28,2007-01-31,0.0001,0.892323765833118,0.5124585728134735,0.36233093344302697,-0.025705941673855173,0.14429756486785178,0.28962104465338223,134,98.28199115957392,200.10956316808625,0.03281535462270398,0.046490333183392574,0.013674978560688597,7.443369627745916,0.5088590989675996
2007-03-31,2002-02-28,2002-03-31,2007-02-28,5.857020818056661,-0.7204256830068144,-0.344660617223286,0.35577916686163086,-0.02655876166195525,0.14119938466329943,0.10118879051156172,135,98.42319054423723,200.21075195859783,0.032340707597025335,0.027377848644149137,-0.004962858952876199,7.4384067687930395,0.5084020734081731
2007-04-30,2002-03-31,2002-04-30,2007-03-31,7.054802310718638,0.8760822644603219,0.5096309165309458,0.35773724605422047,-0.025128922520107518,0.13428659039925664,0.28596808546190855,136,98.55747713463649,200.49672004405974,0.031422943846726614,0.0458552778941457,0.014432334047419088,7.452839102840459,0.5084334690713235
2007-05-31,2002-04-30,2002-05-31,2007-04-30,7.054802310718638,-0.7154369523392561,-0.8159637039439419,0.3588999505144047,-0.027232206513256012,0.010105627788190205,0.6220973750392521,137,98.56758276242466,201.11881741909897,0.008588580003885403,0.06738587947123142,0.05879729946734602,7.511636402307805,0.5099037274218562
2007-06-30,2002-05-31,2002-06-30,2007-05-31,12.32846739442066,-0.7049156793020251,-0.39334181334717816,0.34952716752487856,-0.028203319528730605,0.09707827394604895,0.13332611966800445,138,98.66466103637072,201.25214353876697,0.02652292882078144,0.031082652749436643,0.004559723928655203,7.51619612623646,0.5097460364820161
2007-07-31,2002-06-30,2002-07-31,2007-06-30,17.886495290574334,0.74323923152479,0.46230226564619537,0.35010628475861755,-0.02690568570551652,0.07892557879707064,0.23932441966573892,139,98.74358661516779,201.49146795843274,0.02382876243961037,0.041494076864793984,0.017665314425183615,7.533861440661644,0.5099366359495758
2007-08-31,2002-07-31,2002-08-31,2007-07-31,21.54434690031882,0.7753569596402833,0.23199328366338387,0.3514006727630437,-0.02622257496839541,0.2952440843711289,0.06667542964894702,140,99.03883069953892,201.55814338808167,0.04592261226168036,0.02182322315610254,-0.02409938910557782,7.5097620515560655,0.5086339403868751
2007-09-30,2002-08-31,2002-09-30,2007-08-31,21.54434690031882,0.7669662789989972,2.091317215811438,0.3555225270395686,-0.020650101834764265,1.7539054038359898,4.460405950805696,141,100.7927361033749,206.01854933888737,0.11153046856028412,0.17785973337854524,0.06632926481826112,7.576091316374327,0.5107589271605961
