Date,GC1_Monthly_Return,GC2_Monthly_Return,GC1_volatility,GC2_volatility,GC2_OPEN_INT,GC2_1M_Sign,GC1_1M_Sign,GC2_3M_Ret,GC1_3M_Ret,GC2_3M_Sign,GC1_3M_Sign,GC2_6M_Ret,GC1_6M_Ret,GC2_6M_Sign,GC1_6M_Sign,GC2_12M_Ret,GC1_12M_Ret,GC2_12M_Sign,GC1_12M_Sign,GC2_3M_Fwd_Ret,GC1_3M_Fwd_Ret,GC2_3M_Fwd_Sign,GC1_3M_Fwd_Sign,GC2_6M_Fwd_Ret,GC1_6M_Fwd_Ret,GC2_6M_Fwd_Sign,GC1_6M_Fwd_Sign,GC2_12M_Fwd_Ret,GC1_12M_Fwd_Ret,GC2_12M_Fwd_Sign,GC1_12M_Fwd_Sign,GC1_OPEN_INT,GC1_sharpe,GC2_sharpe
1976-01-31,-0.09516836929253536,-0.09812510073413439,0.2511157930233222,0.23006734222283406,,-1.0,-1.0,-0.11208206141815324,-0.10785354982825446,-1.0,-1.0,-0.2789228923618996,-0.2679887027618717,-1.0,-1.0,-0.3219711459304131,-0.31404752182028783,-1.0,-1.0,-0.09271341377340825,-0.08817254604997249,-1.0,-1.0,-0.13042408796427463,-0.1292850856010217,-1.0,-1.0,-0.040148761365902175,-0.03831334564493538,-1.0,-1.0,,-4.547784182591654,-5.11807194116726
1976-02-29,0.03374560191499665,0.03053672386008177,0.2274026883579395,0.21547223396545462,,1.0,1.0,-0.042684919850950465,-0.03483121162325897,-1.0,-1.0,-0.20217332534668664,-0.1890858929070376,-1.0,-1.0,-0.33485976650564453,-0.32214902984079163,-1.0,-1.0,0.008490981156787925,0.00544534231179572,1.0,1.0,-0.13154002123959696,-0.13420020884873196,-1.0,-1.0,0.03802739558923918,0.03675760713612064,1.0,1.0,,1.7807494973083131,1.7006399366506337
1976-03-31,-0.026749778672433777,-0.025125036899355635,0.1868641043174584,0.17734924517723832,,-1.0,-1.0,-0.09271341377340825,-0.08817254604997249,-1.0,-1.0,-0.09201042604674203,-0.08462014444560495,-1.0,-1.0,-0.3249511166059351,-0.3161272343397554,-1.0,-1.0,-0.04380262265839274,-0.05105521604915175,-1.0,-1.0,-0.2536802751742915,-0.2545517407966864,-1.0,-1.0,0.09325749348658263,0.08663422821781008,1.0,1.0,,-1.7178116965892583,-1.7000379251175033
1976-04-30,-0.0015504809307671508,0.003079294196061788,0.16236444770238168,0.15488435768749167,,1.0,-1.0,0.008490981156787925,0.00544534231179572,1.0,1.0,-0.10359108026136532,-0.10240820751645874,-1.0,-1.0,-0.2610034382952948,-0.2577586445128288,-1.0,-1.0,-0.03771067419086638,-0.04111253955104921,-1.0,-1.0,-0.11077220261855203,-0.10958673605769231,-1.0,-1.0,0.1520557454925262,0.1467090485025455,1.0,1.0,,-0.11459264286299103,0.2385749658935741
1976-05-31,-0.022754956445950825,-0.021756879955098896,0.13264968893070248,0.1274831635494308,,-1.0,-1.0,-0.04380262265839274,-0.05105521604915175,-1.0,-1.0,-0.08648754250934321,-0.08588642767241073,-1.0,-1.0,-0.2833522093597125,-0.27871340246902054,-1.0,-1.0,-0.14003100239638488,-0.13964555116052768,-1.0,-1.0,-0.045605387001794284,-0.040369478914300316,-1.0,-1.0,0.13765431902668457,0.1381754103666859,1.0,1.0,,-2.0585006987393606,-2.0479767852635193
1976-06-30,-0.016807102174331234,-0.01903308843182927,0.12493506189430312,0.12440326697006747,,-1.0,-1.0,-0.03771067419086638,-0.04111253955104921,-1.0,-1.0,-0.13042408796427463,-0.1292850856010217,-1.0,-1.0,-0.31063519726368405,-0.3032980071343854,-1.0,-1.0,-0.20987765251589874,-0.20349652474753466,-1.0,-1.0,0.040790572188400986,0.04272494466634136,1.0,1.0,0.12534796021646422,0.13005312824819804,1.0,1.0,,-1.6143204560350197,-1.835941022649394
1976-07-31,-0.10008349254024562,-0.09924103400945672,0.17197656807264353,0.17322403790151805,,-1.0,-1.0,-0.14003100239638488,-0.13964555116052768,-1.0,-1.0,-0.13154002123959696,-0.13420020884873196,-1.0,-1.0,-0.41046291360149656,-0.40218891161060366,-1.0,-1.0,-0.07306152842768565,-0.0684741965066431,-1.0,-1.0,0.09027532659837245,0.09097173995608632,1.0,1.0,0.14784006282008466,0.14755689361970603,1.0,1.0,,-6.9835206269242445,-6.874868075702813
1976-08-31,-0.0866059300329578,-0.09160353007461275,0.21962363703928445,0.21797567112148802,,-1.0,-1.0,-0.20987765251589874,-0.20349652474753466,-1.0,-1.0,-0.2536802751742915,-0.2545517407966864,-1.0,-1.0,-0.4558536005209781,-0.443637633703724,-1.0,-1.0,0.0944256153945906,0.09927607224622736,1.0,1.0,0.16956741682883614,0.1709578159848526,1.0,1.0,0.25396343645248276,0.25803188900403295,1.0,1.0,,-4.732055139445658,-5.042958946930797
1976-09-30,0.11821522606656032,0.11778303565638382,0.2804443047588455,0.27975917938918793,,1.0,1.0,-0.07306152842768565,-0.0684741965066431,-1.0,-1.0,-0.11077220261855203,-0.10958673605769231,-1.0,-1.0,-0.20278262866529406,-0.19420688050329726,-1.0,-1.0,0.2506682247042997,0.24622146941387602,1.0,1.0,0.3469377686608741,0.3411859690144965,1.0,1.0,0.3612188682262909,0.35560428249509446,1.0,1.0,,5.058340243416835,5.05218964025611
1976-10-31,0.06766677621262485,0.06824610981281953,0.25809696872184246,0.26308605049538486,,1.0,1.0,0.0944256153945906,0.09927607224622736,1.0,1.0,-0.045605387001794284,-0.040369478914300316,-1.0,-1.0,-0.1491964672631596,-0.14277768643075905,-1.0,-1.0,0.1633368550260581,0.15944593646272942,1.0,1.0,0.26282794811107824,0.2562957845602378,1.0,1.0,0.2979649394073647,0.2898405666926491,1.0,1.0,,3.1461094586764102,3.1128724469114366
