test_date,train_end,calib_start,calib_end,best_alpha,forecast,realized,calib_error,hist_mean,SSE_forecast,SSE_hist,row_num,Cum_SSE_forecast,Cum_SSE_hist,RMSE_forecast,RMSE_hist,RMSE_diff,Cum_RMSE_diff,R_Sq_OOS
2015-08-31,2010-07-31,2010-08-31,2015-07-31,0.0001,0.7709773742399681,0.8615698433617156,0.4233614490282426,-0.2814720872540144,0.008206995461574766,1.3065448551457353,236,139.11557643379993,272.55318351659247,0.005897067449012107,0.07440569207614016,0.06850862462712805,8.2579439114243,0.48958374054239995
2015-09-30,2010-08-31,2010-09-30,2015-08-31,0.0001,-0.8660377176308232,-0.4037162347917064,0.42240702554483256,-0.17483205379388622,0.21374115349455974,0.05238796831104289,237,139.3293175872945,272.6055714849035,0.030031007428157338,0.01486762522373462,-0.015163382204422718,8.242780529219878,0.4888977623298123
2015-10-31,2010-09-30,2010-10-31,2015-09-30,0.0001,0.7730112122967756,0.5818950438453989,0.42451384679826865,-0.03792457308424945,0.03652538984353499,0.3841763575308161,238,139.36584297713804,272.9897478424343,0.012388221202120506,0.04017693836244743,0.027788717160326923,8.270569246380205,0.48948323488844725
2015-11-30,2010-10-31,2010-11-30,2015-10-31,0.0001,-0.8635729127293711,-1.6470001083032866,0.42480599509603395,-0.18180919413519805,0.61375817076481,2.146784414960719,239,139.97960114790286,275.13653225739506,0.05067569258628463,0.09477532151817424,0.0440996289318896,8.314668875312094,0.49123586024937804
2015-12-31,2010-11-30,2010-12-31,2015-11-30,0.0001,-0.7689276435104411,-0.10383353790785724,0.4330627788884504,-0.20603568091022392,0.442350169307301,0.01044527803427621,240,140.42195131721016,275.14697753542936,0.042931639910992074,0.0065971199632479174,-0.03633451994774416,8.27833435536435,0.48964748740833
2016-01-31,2010-12-31,2011-01-31,2015-12-31,0.0001,0.7698207068270706,1.17171129695897,0.43809335296086604,-0.25007256296045,0.1615160464365664,2.0214693443273655,241,140.58346736364672,277.1684468797567,0.025888048672160338,0.09158514946768452,0.06569710079552418,8.344031456159875,0.49278689927993247
2016-02-29,2011-01-31,2011-02-28,2016-01-31,0.0001,0.77291799505016,2.234816713389829,0.43470703577799824,0.02698571352874718,2.1371478626831664,4.8745177239475845,242,142.72061522632987,282.04296460370426,0.09397440883144569,0.1419247519741497,0.04795034314270401,8.39198179930258,0.49397562379595195
2016-03-31,2011-02-28,2011-03-31,2016-02-29,0.0001,0.8151712607807131,0.0032440073576041513,0.4684084019043703,0.07025817632865279,0.6592258648511935,0.004490898842880259,243,143.37984109118108,282.04745550254717,0.05208515759180283,0.004298960943883778,-0.047786196647919055,8.34419560265466,0.4916463939172597
2016-04-30,2011-03-31,2011-04-30,2016-03-31,0.0001,0.9182259120305666,0.8113368154092493,0.4774464259149275,0.1376966258882485,0.011425278976521304,0.4537911049378899,244,143.39126637015758,282.50124660748503,0.006842873215119659,0.043125394031836836,0.03628252081671718,8.380478123471377,0.49242253585737505
2016-05-31,2011-04-30,2011-05-31,2016-04-30,0.0001,-0.7229726888352938,-1.1548825240309342,0.46069664404694693,0.03140984723981053,0.18654610573872527,1.4072895901351665,245,143.5778124758963,283.9085361976202,0.02759370718994809,0.07578943952430868,0.048195732334360586,8.428673855805737,0.4942814527564747
2016-06-30,2011-05-31,2011-06-30,2016-05-31,0.0001,0.9159717964561589,1.6554377834800384,0.46154279555879746,0.19516481957992246,0.5468099459652004,2.1323971290976296,246,144.12462242186152,286.04093332671783,0.04714662934288223,0.09310360364986948,0.04595697430698725,8.474630830112725,0.4961398680053899
2016-07-31,2011-06-30,2011-07-31,2016-06-30,0.0001,0.8146549665201118,0.4376747724579669,0.47015954053611575,0.370687822602249,0.14211406671513246,0.0044872514509724645,247,144.26673648857664,286.04542057816883,0.02398667534253946,0.004262277551141578,-0.019724397791397882,8.454906432321327,0.49565094873052773
2016-08-31,2011-07-31,2011-08-31,2016-07-31,0.0001,-0.7242223414519735,-0.6185589460662155,0.4467958403690274,0.24734375681658813,0.01116475312444702,0.749787490859745,248,144.2779012417011,286.79520806902855,0.006709632316631303,0.05498487661796215,0.048275244301330844,8.503181676622658,0.49693057212108316
2016-09-30,2011-08-31,2011-09-30,2016-08-31,4.862601580065348,0.9120831892307427,0.09520091644683537,0.36721871666000977,0.2889201860864666,0.667296647588602,0.03752715542971214,249,144.94519788928972,286.8327352244583,0.05176781060867138,0.012276459896452454,-0.03949135071221893,8.463690325910438,0.4946699588669188
2016-10-31,2011-09-30,2011-10-31,2016-09-30,31.25715849688235,-0.6734225404821074,-0.8706152281552805,0.33345397670329635,0.16787766341974328,0.038884956071769596,1.0784674858518541,250,144.98408284536148,287.91120271031014,0.012471560619548717,0.06568005742542722,0.053208496805878504,8.516898822716318,0.4964277823143921
2016-11-30,2011-10-31,2011-11-30,2016-10-31,25.950242113997348,-0.7804680000431847,-2.195037826754619,0.33387804738999727,0.12220785354879893,2.0010077946424176,5.3696275428848494,251,146.98509064000388,293.280830253195,0.08928685574112867,0.14626325040100785,0.05697639465987918,8.573875217376196,0.4988247594869777
2016-12-31,2011-11-30,2011-12-31,2016-11-30,4.862601580065348,-0.8525468604529033,-0.4081515537836317,0.3575881640521485,0.09684801889248439,0.19748718858967593,0.2550245684030598,252,147.18257782859357,293.53585482159804,0.02799427298217086,0.03181198289273553,0.003817709910564668,8.57769292728676,0.49858739431322097
2017-01-31,2011-12-31,2012-01-31,2016-12-31,17.886495290574334,0.7677943407533878,1.1143902130928074,0.35295240167860864,0.0920712619036375,0.12012869872272323,1.0451360379605243,253,147.30270652731627,294.58099085955854,0.021790295798793234,0.06427264178526824,0.04248234598647501,8.620175273273237,0.49995854757124225
2017-02-28,2012-01-31,2012-02-29,2017-01-31,17.886495290574334,0.7730795869986301,0.8739188708215564,0.3505920184643878,-0.021336891643718547,0.010168561161920683,0.8014828802272808,254,147.31287508847822,295.38247373978584,0.00632721940206695,0.05617334252422251,0.049846123122155556,8.670021396395391,0.5012809215679737
2017-03-31,2012-02-29,2012-03-31,2017-02-28,12.32846739442066,-0.8241602827053132,-0.14270581657894327,0.34664877764364765,-0.033499376971764167,0.4643801894035759,0.011926046451676456,255,147.77725527788178,295.3943997862375,0.042674333995679506,0.006838772522493893,-0.03583556147318561,8.634185834922206,0.4997289881432385
2017-04-30,2012-03-31,2012-04-30,2017-03-31,17.886495290574334,0.8861612631103404,0.45187732825557464,0.3532669266923073,-0.06345433423457038,0.18860253607293842,0.2655667223648568,256,147.96585781395473,295.6599665086024,0.02714274592842286,0.032208228905634066,0.005065482977211207,8.639251317899417,0.49954043639638446
2017-05-31,2012-04-30,2012-05-31,2017-04-30,10.235310218990259,0.8914622544693809,0.07320840421158391,0.3461881052793368,0.03888657645230611,0.6695393634617092,0.0011779878607375322,257,148.63539717741642,295.6611444964631,0.0510412728189591,0.0021409367933370492,-0.04890033602562205,8.590350981873796,0.49727788062731226
2017-06-30,2012-05-31,2012-06-30,2017-05-31,21.54434690031882,-0.7315059857798138,-0.7492063050048272,0.35348992326310175,-0.1615004309214327,0.0003133013006673776,0.3453981944321267,258,148.6357104787171,296.00654269089523,0.0011019737413467449,0.03658896953451122,0.03548699579316447,8.62583797766696,0.49786342853262566
2017-07-31,2012-06-30,2012-07-31,2017-06-30,21.54434690031882,0.8724932206916931,0.5764566796663596,0.352280063115504,-0.14993527198739998,0.08763763362224396,0.5276452674273578,259,148.72334811233935,296.5341879583226,0.01839481562247161,0.045135799702425164,0.026740984079953553,8.652578961746913,0.4984613776363548
2017-08-31,2012-07-31,2012-08-31,2017-07-31,17.886495290574334,0.7590818146403093,1.2365554937787675,0.3455292574501394,0.004657597999681962,0.2279811142700153,1.5175724256249388,260,148.95132922660935,298.05176038394757,0.029611660532635767,0.07639906427198163,0.04678740373934587,8.69936636548626,0.5002501275794125
2017-09-30,2012-08-31,2012-09-30,2017-08-31,12.32846739442066,-0.8222857471284867,-1.0191065452110157,0.3482456569316179,-0.08820135713847228,0.03873842655784367,0.8665844691803775,261,148.99006765316722,298.9183448531279,0.012182901553404159,0.057621584569967674,0.045438683016563515,8.744805048502823,0.5015693408633961
