Dates,FEDL01 Index,daily_risk_free_ret,1M_risk_free_ret_realized
1975-08-07,6.14,0.00023522137542860327,0.005336161261845706
1975-08-08,6.04,0.00023139085159299333,0.0053468868066460125
1975-08-11,6.13,0.00023483832370545588,0.00492547518053673
1975-08-12,6.11,0.00023407221981853096,0.005159547400355261
1975-08-13,6.09,0.0002333061153449124,0.005392853515700173
1975-08-14,6.06,0.00023215695753390486,0.005398216269612102
1975-08-15,6.05,0.00023177390463692486,0.0054031959706270505
1975-08-18,6.15,0.0002356044270052441,0.004933519342584502
1975-08-19,6.24,0.00023905188459135657,0.005172571227175859
1975-08-20,6.42,0.00024594676410911694,0.005418517991284975
1975-08-21,6.34,0.00024288237908136562,0.005428477307478221
1975-08-22,6.32,0.00024211628135722233,0.005436904421180246
1975-08-25,6.31,0.00024173323227517194,0.0049461600491586336
1975-08-26,6.18,0.0002367535808545743,0.005182913630013208
1975-08-27,5.81,0.00022258059108694363,0.0054054942211001515
1975-08-28,6.17,0.0002363705297181185,0.005402046766155141
1975-08-29,6.13,0.00023483832370545588,0.005400897611425662
1975-09-01,6.13,0.00023483832370545588,0.00492394299638574
1975-09-02,6.29,0.0002409671336704471,0.005164910130056187
1975-09-03,5.47,0.000209556585546132,0.005374466715602319
1975-09-04,6.19,0.00023713663184407997,0.00537178536278327
1975-09-05,6.2,0.00023751968268707964,0.005373700618465106
1975-09-08,6.19,0.00023713663184407997,0.004941180504121574
1975-09-09,6.09,0.0002333061153449124,0.005174486619466487
1975-09-10,5.98,0.00022909253024852062,0.005403579149715007
1975-09-11,6.22,0.00023828578393267344,0.005407026609942225
1975-09-12,6.33,0.0002424993302927682,0.0054154537204164615
1975-09-15,6.41,0.0002455637164943269,0.004963780459395046
1975-09-16,6.28,0.0002405840841482164,0.005204364543543263
1975-09-17,6.03,0.0002310077984023321,0.005435372341945595
1975-09-18,6.31,0.00024173323227517194,0.005441501147215522
1975-09-19,6.21,0.00023790273338312944,0.005440351996007296
1975-09-22,6.28,0.0002405840841482164,0.004949990655607806
1975-09-23,6.26,0.00023981798466312992,0.005189808640270936
1975-09-24,6.54,0.0002505433240438226,0.005440351964314759
1975-09-25,6.38,0.00024441457276915923,0.005443033304808748
1975-09-26,6.42,0.00024594676410911694,0.005452226488063289
1975-09-29,6.42,0.00024594676410911694,0.005004383807661888
1975-09-30,6.22,0.00023828578393267344,0.005242669591594562
1975-10-01,6.24,0.00023905188459135657,0.005246883152480461
1975-10-02,6.3,0.0002413501830461729,0.005247266201856188
