Date,GC1_PX_Last,GC1_Monthly_Return,GC2_PX_Last,GC2_Monthly_Return,GC1_OPEN_INT,GC2_OPEN_INT,GC2_1M_Sign,GC1_1M_Sign,GC2_3M_Ret,GC1_3M_Ret,GC2_3M_Sign,GC1_3M_Sign,GC2_6M_Ret,GC1_6M_Ret,GC2_6M_Sign,GC1_6M_Sign,GC2_12M_Ret,GC1_12M_Ret,GC2_12M_Sign,GC1_12M_Sign,SPX Index,NDX Index,DXY Curncy,USGG10YR Index,USGG2YR Index,CPI YOY Index,PCE CYOY Index,VIX Index,JPY Curncy,LEGATRUU Index,EMUSTRUU Index,PE_RATIO,fed_eff_rate,GDP_Nominoal_YOY,GDP_Real_QoQ,CPI_YoY,US_Unemp,Cons_Conf,US_RIR
2015-01-31,1278.5,0.07972301825297912,1279.2,0.07958477508650508,2779.0,295256.0,1.0,1.0,0.0910951893551688,0.09124276731804914,1.0,1.0,-0.0021062485373274376,-0.002185318733254782,-1.0,-1.0,0.03177931924503952,0.030965264690884897,1.0,1.0,1994.98999,4148.430176,94.804,1.6407,0.4488,-0.1,1.2097,20.97,117.49,455.8092,915.250488,17.3198,0.06,,,-0.1,5.7,98.1,0.2144
2015-02-28,1213.099976,-0.051153714509190484,1214.0,-0.050969355847404696,259681.0,62009.0,-1.0,-1.0,0.032752020416843886,0.032249852433834825,1.0,1.0,-0.057014137020351185,-0.05705404119704627,-1.0,-1.0,-0.08162493380739855,-0.0820974591179926,-1.0,-1.0,2104.5,4440.669922,95.293,1.993,0.6184,0.0,1.27748,13.34,119.63,452.1183,926.055481,18.3365,0.06,,,0.0,5.5,95.4,0.1501
2015-03-31,1183.099976,-0.024730030989630447,1183.2,-0.02537067545304772,5422.0,262620.0,-1.0,-1.0,-0.0014347202295552641,-0.0008445232837333005,-1.0,-1.0,-0.023440079234070543,-0.022635294506402337,-1.0,-1.0,-0.07836111543854174,-0.07815182026208223,-1.0,-1.0,2067.889893,4333.689941,98.357,1.9231,0.5551,-0.1,1.28084,15.29,120.13,447.7604,931.424988,17.9651,0.06,5.0,3.3,-0.1,5.4,93.0,0.1986
2015-04-30,1182.400024,-0.0005916254029236789,1183.4,0.00016903313049354551,260388.0,46239.0,1.0,-1.0,-0.07489055659787358,-0.07516619163081739,-1.0,-1.0,0.00938246332309789,0.009218204354077386,1.0,1.0,-0.08688271604938269,-0.0875839168901813,-1.0,-1.0,2085.51001,4414.25,94.6,2.0317,0.567,-0.2,1.29437,14.55,119.38,452.5223,948.4021,18.1146,0.08,,,-0.2,5.4,95.9,0.3245
2015-05-31,1189.400024,0.005920162261431106,1189.8,0.005408146019942439,5535.0,257964.0,1.0,1.0,-0.019934102141680454,-0.019536684913758484,-1.0,-1.0,0.01216503615482778,0.012083112314561273,1.0,1.0,-0.045104333868378865,-0.04511878057390062,-1.0,-1.0,2107.389893,4508.25,96.907,2.1214,0.6053,0.0,1.2472,13.84,124.15,444.4316,949.009827,18.1624,0.08,,,0.0,5.6,90.7,0.1649
2015-06-30,1171.800049,-0.014797355511067423,1172.8,-0.014288115649689015,283573.0,14334.0,-1.0,-1.0,-0.008789722785666032,-0.009551117597182746,-1.0,-1.0,-0.010211832222128514,-0.010387574739719518,-1.0,-1.0,-0.11312764670296438,-0.11361569667170957,-1.0,-1.0,2063.110107,4396.759766,95.485,2.3531,0.6427,0.1,1.25416,18.23,122.5,442.485,935.577515,17.8023,0.08,4.3,2.3,0.1,5.3,96.1,0.0012
2015-07-31,1094.900024,-0.06562555195796882,1094.7,-0.06659276944065473,8295.0,25194.0,-1.0,-1.0,-0.07495352374514119,-0.07400202826788849,-1.0,-1.0,-0.14423076923076927,-0.14360576926085256,-1.0,-1.0,-0.14603323192136675,-0.14547726361633806,-1.0,-1.0,2103.840088,4588.910156,97.336,2.1801,0.6606,0.2,1.17895,12.12,123.89,443.4764,936.789307,18.1475,0.08,,,0.2,5.2,93.1,-0.0446
2015-08-31,1132.0,0.03388435033955206,1132.5,0.034530008221430375,27465.0,283844.0,1.0,1.0,-0.048159354513363506,-0.048259645906985504,-1.0,-1.0,-0.06713344316309722,-0.06685349732460966,-1.0,-1.0,-0.12032002485629956,-0.12009327633113098,-1.0,-1.0,1972.180054,4274.580078,95.824,2.2179,0.7375,0.2,1.22125,28.43,121.23,443.9924,924.886108,16.9843,0.08,,,0.2,5.1,91.9,-0.0701
2015-09-30,1115.5,-0.014575971731448756,1115.2,-0.015275938189845406,2831.0,290540.0,-1.0,-1.0,-0.049113233287857994,-0.04804578140105531,-1.0,-1.0,-0.05747126436781613,-0.057138008090028,-1.0,-1.0,-0.07956421261142277,-0.07847996695580339,-1.0,-1.0,1920.030029,4181.060059,96.35,2.0368,0.6289,0.0,1.23212,24.5,119.88,446.2552,913.243774,16.5362,0.07,3.4,1.3,0.0,5.0,87.2,0.1611
2015-10-31,1141.400024,0.023218309278350446,1142.3,0.024300573888091703,287124.0,77832.0,1.0,1.0,0.04348223257513473,0.04246963099893031,1.0,1.0,-0.03473043772181861,-0.03467523610266776,-1.0,-1.0,-0.025673831456840768,-0.025776675161010676,-1.0,-1.0,2079.360107,4648.830078,96.946,2.1421,0.724,0.2,1.17798,15.07,120.62,447.1977,937.79657,17.9203,0.07,,,0.2,5.0,90.0,-0.0456
2015-11-30,1065.800049,-0.06623442562675119,1065.3,-0.06740786133239951,5831.0,278253.0,-1.0,-1.0,-0.05933774834437089,-0.0584805220848057,-1.0,-1.0,-0.10463943519919316,-0.10391791870352285,-1.0,-1.0,-0.09374734155678444,-0.09309045827215157,-1.0,-1.0,2080.409912,4664.509766,100.17,2.206,0.9304,0.5,1.1967,16.13,123.11,439.7938,935.296021,18.1258,0.08,,,0.5,5.1,91.3,-0.3768
2015-12-31,1060.199951,-0.005254360801779101,1060.8,-0.00422416220782873,279966.0,55480.0,-1.0,-1.0,-0.04878048780487809,-0.04957422590766469,-1.0,-1.0,-0.09549795361527968,-0.09523817488763386,-1.0,-1.0,-0.1047345767575324,-0.10463645596763349,-1.0,-1.0,2043.939941,4593.27002,98.631,2.2694,1.0477,0.7,1.1917,18.21,120.22,442.1315,922.199707,17.8322,0.2,2.9,0.6,0.7,5.0,92.6,-0.3545
2016-01-31,1116.400024,0.053008937556534574,1116.4,0.05241327300150833,4194.0,261834.0,1.0,1.0,-0.02267355335726151,-0.021902925770395765,-1.0,-1.0,0.019822782497487923,0.019636496053268893,1.0,1.0,-0.1272670419011882,-0.126789187328901,-1.0,-1.0,1940.23999,4279.169922,99.606,1.9209,0.7737,1.4,1.40624,20.2,121.14,445.963,921.949219,16.9203,0.29,,,1.4,4.8,92.0,-0.9981
2016-02-29,1234.400024,0.1056968805654559,1235.1,0.10632389824435662,302598.0,81009.0,1.0,1.0,0.15939172064207252,0.15819099948268067,1.0,1.0,0.09059602649006604,0.09045938515901053,1.0,1.0,0.017380560131795564,0.017558361570687353,1.0,1.0,1932.22998,4201.120117,98.211,1.7347,0.7737,1.0,1.46589,20.55,112.69,455.8935,935.22229,16.8478,0.29,,,1.0,4.9,91.7,-0.6428
2016-03-31,1234.199951,-0.00016208116988825072,1235.6,0.0004048255202007134,5796.0,359425.0,1.0,-1.0,0.16478129713423817,0.16411998494800906,1.0,1.0,0.10796269727403152,0.10640963783056923,1.0,1.0,0.04428668018931692,0.04319159499332126,1.0,1.0,2059.73999,4483.660156,94.586,1.7687,0.7211,0.9,1.45745,13.95,112.57,468.2131,963.909729,17.9806,0.25,2.6,2.4,0.9,5.0,91.0,-0.4775
2016-04-30,1290.5,0.045616635257831106,1292.6,0.04613143412107479,405312.0,56629.0,1.0,1.0,0.1578287352203509,0.15594766415017558,1.0,1.0,0.13157664361376176,0.13062902826783196,1.0,1.0,0.0922764914652694,0.09142419976811489,1.0,1.0,2065.300049,4341.299805,93.082,1.8333,0.7816,1.1,1.51994,15.7,106.5,474.4409,980.872314,18.0096,0.3,,,1.1,5.1,89.0,-0.7501
2016-05-31,1214.800049,-0.05865939635800077,1217.5,-0.05809995358192788,10939.0,357090.0,-1.0,-1.0,-0.014249858311067842,-0.015878138868215097,-1.0,-1.0,0.142870552895898,0.13980108195697794,1.0,1.0,0.023281223735081458,0.021355325783985357,1.0,1.0,2096.959961,4523.890137,95.891,1.8458,0.877,1.0,1.56873,14.19,110.73,468.0762,980.796814,19.0342,0.29,,,1.0,4.8,94.7,-0.6443
2016-06-30,1320.599976,0.08709246191345854,1324.0,0.08747433264887072,429258.0,37415.0,1.0,1.0,0.07154418905794757,0.07000488448406994,1.0,1.0,0.24811463046757165,0.24561407001989188,1.0,1.0,0.12892223738062758,0.1269840593768401,1.0,1.0,2098.860107,4417.700195,96.143,1.4697,0.5817,1.0,1.5524,15.63,103.2,481.7451,1008.877991,19.0592,0.3,2.4,1.2,1.0,4.9,93.5,-0.6223
2016-07-31,1349.0,0.02150539490847314,1353.1,0.02197885196374605,8519.0,45895.0,1.0,1.0,0.046804889370261504,0.04533126695079437,1.0,1.0,0.21202078108204936,0.20834823629491428,1.0,1.0,0.23604640540787414,0.2320759616678938,1.0,1.0,2173.600098,4730.22998,95.53,1.4531,0.6554,0.8,1.59933,11.87,102.06,485.3764,1024.18103,19.7209,0.3,,,0.8,4.8,90.0,-0.4521
2016-08-31,1307.900024,-0.030466994810971038,1311.4,-0.030818121350971728,44836.0,413031.0,-1.0,-1.0,0.07712525667351144,0.07663810606250654,1.0,1.0,0.061776374382641164,0.05954309670363389,1.0,1.0,0.15796909492273747,0.15538871378091867,1.0,1.0,2170.949951,4771.060059,96.022,1.58,0.8053,1.1,1.69696,13.42,103.43,483.0188,1038.43335,19.9534,0.3,,,1.1,4.9,89.8,-0.6879
2016-09-30,1313.300049,0.0041287750599505735,1317.1,0.004346499923745473,4458.0,437423.0,1.0,1.0,-0.005211480362537824,-0.005527735220858476,-1.0,-1.0,0.06595985755908051,0.06409018079761686,1.0,1.0,0.1810437589670013,0.17731963155535624,1.0,1.0,2168.27002,4875.700195,95.463,1.5944,0.7619,1.5,1.68526,13.29,101.35,485.6783,1040.432739,19.9431,0.29,2.7,2.4,1.5,5.0,91.2,-1.0888
2016-10-31,1273.099976,-0.03060996840029817,1276.9,-0.0305216004859159,360658.0,67671.0,-1.0,-1.0,-0.056315128224077915,-0.056263916975537454,-1.0,-1.0,-0.012146062200216523,-0.01348316466485866,-1.0,-1.0,0.11783244331611664,0.11538457090482757,1.0,1.0,2126.149902,4801.27002,98.445,1.8255,0.8409,1.6,1.78241,17.06,104.82,472.1983,1033.729004,19.5502,0.31,,,1.6,4.9,87.2,-1.261
2016-11-30,1170.800049,-0.08035498305594191,1173.9,-0.08066410838750093,6832.0,273896.0,-1.0,-1.0,-0.10484977886228453,-0.10482450683095945,-1.0,-1.0,-0.0358110882956878,-0.03621995244091403,-1.0,-1.0,0.10194311461560135,0.09851754097639387,1.0,1.0,2198.810059,4810.810059,101.5,2.3809,1.113,1.7,1.71886,13.33,114.46,453.4371,1001.925415,20.0873,0.31,,,1.7,4.7,93.8,-1.3175
2016-12-31,1151.699951,-0.016313714725510686,1154.3,-0.016696481812760955,282871.0,56085.0,-1.0,-1.0,-0.12360488953002802,-0.12304887837554623,-1.0,-1.0,-0.1281722054380665,-0.12789643197752099,-1.0,-1.0,0.08814102564102555,0.08630447484334969,1.0,1.0,2238.830078,4863.620117,102.21,2.4443,1.1883,2.1,1.77009,14.04,116.96,451.3539,1013.32489,20.5757,0.55,3.5,2.2,2.1,4.7,98.2,-1.4496
2017-01-31,1208.599976,0.0494052508646845,1211.4,0.04946720956423811,3468.0,271136.0,1.0,1.0,-0.05129610776098359,-0.050663735147223,-1.0,-1.0,-0.10472248909910564,-0.10407711193476654,-1.0,-1.0,0.0850949480472949,0.08258684164987073,1.0,1.0,2278.870117,5116.77002,99.512,2.4531,1.2044,2.5,1.86334,11.99,112.8,456.4424,1026.003052,20.9385,0.56,,,2.5,4.7,98.5,-1.875
2017-02-28,1253.900024,0.03748142387849929,1257.2,0.037807495459798446,280881.0,85709.0,1.0,1.0,0.07096004770423381,0.07097708534516811,1.0,1.0,-0.04132987646789699,-0.04128755945339746,-1.0,-1.0,0.017893287992875262,0.015797148105045622,1.0,1.0,2363.639893,5330.310059,101.12,2.3899,1.2601,2.7,1.86727,12.92,112.77,458.5996,1043.255859,21.4269,0.57,,,2.7,4.6,96.3,-2.113
2017-03-31,1247.300049,-0.00526355759923014,1251.2,-0.004772510340439018,2791.0,298781.0,-1.0,-1.0,0.0839469808541975,0.08300781633010579,1.0,1.0,-0.0500341659706931,-0.05025508074126328,-1.0,-1.0,0.012625445127873114,0.01061424284564727,1.0,1.0,2362.719971,5436.22998,100.35,2.3874,1.254,2.4,1.67865,12.37,111.39,459.3044,1046.586548,21.4438,0.82,4.1,2.0,2.4,4.4,96.9,-1.5056
2017-04-30,1268.300049,0.016836365890337657,1271.7,0.016384271099744163,330094.0,54655.0,1.0,1.0,0.04977711738484403,0.0493960567478946,1.0,1.0,-0.0040723627535437235,-0.0037702671357210393,-1.0,-1.0,-0.01616896178245386,-0.017202596667958203,-1.0,-1.0,2384.199951,5583.529785,99.05,2.2802,1.2619,2.2,1.63682,10.82,111.49,464.4815,1059.62146,21.6416,0.83,,,2.2,4.4,97.0,-1.3247
2017-05-31,1272.0,0.002917252114684743,1275.4,0.0029094912322089606,4528.0,320204.0,1.0,1.0,0.014476614699331813,0.01443494349913177,1.0,1.0,0.08646392367322608,0.08643657906099045,1.0,1.0,0.04755646817248471,0.04708589783733208,1.0,1.0,2411.800049,5788.799805,96.922,2.2028,1.2818,1.9,1.54553,10.41,110.78,471.6692,1067.187012,21.0242,0.83,,,1.9,4.4,97.1,-0.9999
2017-06-30,1242.300049,-0.02334901808176104,1246.0,-0.023051591657519244,293137.0,15903.0,-1.0,-1.0,-0.004156010230179086,-0.004008658545318511,-1.0,-1.0,0.07944208611279557,0.07866640779252743,1.0,1.0,-0.05891238670694865,-0.05929117705814646,-1.0,-1.0,2423.409912,5646.919922,95.628,2.3037,1.3817,1.6,1.57644,11.18,112.39,471.2553,1065.108643,21.1523,1.06,3.9,2.3,1.6,4.3,95.0,-0.5085
2017-07-31,1266.599976,0.01956043310113409,1270.1,0.01934189406099507,4262.0,43097.0,1.0,1.0,-0.001258158370684992,-0.0013404343880144554,-1.0,-1.0,0.04845633151725259,0.04798941018678282,1.0,1.0,-0.061340625230951185,-0.06108230096367684,-1.0,-1.0,2470.300049,5880.330078,92.863,2.2942,1.3491,1.7,1.50311,10.26,110.26,479.1785,1074.175049,21.5578,1.07,,,1.7,4.3,93.4,-0.603
2017-08-31,1318.5,0.04097586055851932,1322.2,0.04102039209511066,45844.0,434981.0,1.0,1.0,0.036694370393602016,0.03655660377358494,1.0,1.0,0.05170219535475651,0.05151923978270845,1.0,1.0,0.008235473539728533,0.008104576653788609,1.0,1.0,2471.649902,5988.600098,92.668,2.117,1.3255,1.9,1.43359,10.59,109.98,483.9256,1088.693604,20.692,1.07,,,1.9,4.4,96.8,-0.814
2017-09-30,1281.5,-0.02806219188471748,1284.8,-0.02828618968386032,2299.0,421741.0,-1.0,-1.0,0.031139646869983828,0.03155433426212473,1.0,1.0,0.026854219948849067,0.02741918516512465,1.0,1.0,-0.02452357451977827,-0.024213848940471627,-1.0,-1.0,2519.360107,5979.299805,93.076,2.3336,1.4827,2.2,1.42259,9.51,112.51,479.5665,1089.332031,21.0841,1.06,4.2,3.2,2.2,4.3,95.1,-1.108
2017-10-31,1270.5,-0.008583690987124415,1274.7,-0.007861145703611405,376939.0,93780.0,-1.0,-1.0,0.003621762065979084,0.0030791284335220936,1.0,1.0,0.0023590469450343043,0.0017345666758703526,1.0,1.0,-0.001722922703422336,-0.002042240239583437,-1.0,-1.0,2575.26001,6248.560059,94.552,2.3793,1.5997,2.0,1.54101,10.18,113.64,477.752,1093.503052,21.5505,1.07,,,2.0,4.2,100.7,-0.9161
2017-11-30,1273.199951,0.002125109012199866,1276.7,0.0015689966266572153,8348.0,377095.0,1.0,1.0,-0.03441234306458929,-0.03435726128175953,-1.0,-1.0,0.001019288066488988,0.0009433577044024588,1.0,1.0,0.08757134338529693,0.08746147737819254,1.0,1.0,2647.580078,6365.560059,93.047,2.4097,1.782,2.2,1.54538,11.28,112.54,483.0576,1091.858521,21.6558,1.07,,,2.2,4.2,98.5,-1.0776
2017-12-31,1309.300049,0.028353832382451927,1314.0,0.029215947364298556,356300.0,45855.0,1.0,1.0,0.022727272727272707,0.021693366367538047,1.0,1.0,0.054574638844301804,0.053932220363294814,1.0,1.0,0.1383522481157411,0.13684128219607783,1.0,1.0,2673.610107,6396.419922,92.124,2.4054,1.883,2.1,1.57687,11.04,112.69,484.7313,1096.068115,21.9821,1.33,5.0,4.6,2.1,4.1,95.9,-0.7341
2018-01-31,1339.0,0.022683838607264972,1343.1,0.022146118721461105,3634.0,398709.0,1.0,1.0,0.05365968463167792,0.05391578118850848,1.0,1.0,0.057475789307928515,0.057160923236903693,1.0,1.0,0.10871718672610187,0.10789345241555748,1.0,1.0,2823.810059,6949.990234,89.133,2.705,2.1406,2.1,1.63204,13.54,109.19,490.5078,1094.185791,23.2121,1.34,,,2.1,4.0,95.7,-0.6955
2018-02-28,1317.900024,-0.015758010455563798,1323.7,-0.014444196262378028,343146.0,102869.0,-1.0,-1.0,0.0368136602177489,0.03510844699993232,1.0,1.0,0.0011344728482831634,-0.00045504436860066555,1.0,-1.0,0.05289532293986632,0.05104075187417023,1.0,1.0,2713.830078,6854.419922,90.613,2.8606,2.25,2.2,1.64422,19.85,106.68,486.1554,1079.278442,21.7379,1.35,,,2.2,4.1,99.7,-0.8368
2018-03-31,1322.800049,0.003718055171687329,1327.3,0.0027196494674019966,2629.0,374794.0,1.0,1.0,0.01012176560121758,0.010310852741746146,1.0,1.0,0.033079078455790834,0.03222789621537259,1.0,1.0,0.06082161125319696,0.060530744034309025,1.0,1.0,2640.870117,6581.129883,89.974,2.7389,2.2661,2.4,1.90918,19.97,106.28,491.33,1079.894287,21.1905,1.67,5.4,3.3,2.4,4.0,101.4,-0.7347
2018-04-30,1319.199951,-0.0027215738332648787,1325.3,-0.0015068183530475565,346862.0,73366.0,-1.0,-1.0,-0.013252922343831353,-0.014787191187453308,-1.0,-1.0,0.0396956146544285,0.038331327036599916,1.0,1.0,0.04214830541794434,0.04013238195498969,1.0,1.0,2648.050049,6605.569824,91.841,2.9531,2.4879,2.5,1.88422,15.93,109.34,483.4603,1068.870239,21.236,1.69,,,2.5,4.0,98.8,-0.8378
